listing_id,title,listing_type,city,district,neighborhood,property_category,property_type,room_count,price,price_period,gross_m2,net_m2,building_age,earthquake_regulation,floor,total_floors,bathroom_count,master_bathroom,heating,facade,balcony,outdoor_space,in_complex,near_metro,furnished,elevator,parking,ev_charging,security,view,kitchen_type,deed_status,credit_eligible,iskan_status,usage_status,dues,amenities,nearby_places,technical_details,building_features,smart_home,estimated_monthly_rent,roi_years,annual_roi_pct,pros,cons,description,highlight,listing_url,image_url,status
PRT-001,Kayaşehir bölgesinde Satılık 3+1 Daire - Metroya Yakın Aile Evi,Satılık,İstanbul,Başakşehir,Kayaşehir,Konut,Daire,3+1,7850000,Satış,145,126,3,2018 Sonrası Deprem Yönetmeliği,5,12,1,False,Isı Pompası (Düşük Tüketim),Kuzey-Güney (Çift Cephe & Havadar),True,Geniş Cam Balkon,True,True,False,False,2 Araçlık Kapalı Otopark,True,7/24 Güvenlik + CCTV + Kartlı Geçiş,Açık Yeşil Alan Manzarası,Ofis Tipi Mutfak / Kitchenette,Kat Mülkiyeti (İskanlı),False,İskan Başvurusunda,Boş (Hemen Taşınmaya Hazır),650,Açık/Kapalı Yüzme Havuzu; Fitness & Pilates Salonu; Sauna & Buhar Odası; Çocuk Parkı; Yürüyüş Parkuru; Tenis Kortu,Metro İstasyonu 300 m; Prestijli Kolej 450 m; Süpermarket 100 m; Tam Donanımlı Hastane 1.8 km,Akıllı ev otomasyon sistemi; Çift camlı Schüco alüminyum doğrama; Fiber optik internet; Tam güç jeneratör,"1. 7/24 güvenlik kamera kayıt merkezi
2. Ses ve titreşim yalıtımlı döşeme plakaları
3. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
4. Plaka tanıma bariyeri
5. Radye jeneral temel ve perde beton uygulaması
6. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
7. Kapalı otoparktan kata doğrudan asansör bağlantısı
8. Engelsiz rampa girişi
9. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
10. Profesyonel site yönetimi ve peyzaj bakım ekibi",True,39000,16.8,5.96,"2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı • Kapalı otoparkta elektrikli araç (EV) şarj ünitesi hazır • Akıllı ev otomasyonu ile aydınlatma, iklimlendirme ve güvenlik uzaktan kontrol edilebilir • 7/24 güvenlikli ve zengin sosyal donatılı prestijli site yerleşimi",Metroya yürüme mesafesi uzaktır; şahsi araç veya servis/otobüs gerekmektedir • Kuzey cephe olması nedeniyle kış aylarında ısınma gideri bir miktar yüksek olabilir • Binada asansör bulunmamaktadır; merdiven kullanımı gerektirir,"Kayaşehir'de güvenlikli sitede, balkonlu, ferah ve masrafsız 3+1 aile dairesi.","Metroya yürüyerek 4 dakika; okul ve parka yakın, güvenlikli aile sitesi.",https://example.com/ilan/PRT-001,assets/family-complex-thumb.webp,active
PRT-002,Kayaşehir bölgesinde Satılık 1+1 Rezidans - Eşyalı Yatırım Fırsatı,Satılık,İstanbul,Başakşehir,Kayaşehir,Konut,Rezidans,1+1,4350000,Satış,68,55,2,2007-2018 Deprem Yönetmeliği,9,18,2,True,Merkezi Pay Ölçer,Güney-Batı (Akşam Güneşi & Aydınlık),True,120 m² Müstakil Çim Bahçe,True,True,True,True,1 Araçlık Kapalı Otopark + EV Şarj,True,Görüntülü Diafon & Şifreli Giriş,Peyzaj & Havuz,Ada Tezgahlı Lüks Mutfak,Kat Mülkiyeti (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Mülk Sahibi Oturuyor,1000,Peyzajlı Bahçe; Sosyal Tesis; Basketbol Sahası; Bisiklet Parkı; Çocuk Oyun Alanı; Kamelya & Dinlenme Alanı,Marmaray 600 m; Sahil Kordonu 400 m; Butik Kafeler 150 m; Eczane ve Sağlık Ocağı 200 m,Isı ve ses yalıtımlı taş yünü mantolama; Yerden ısıtma; VRF klima altyapısı; Merkezi su arıtma ve hidrofor,"1. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
2. Ses ve titreşim yalıtımlı döşeme plakaları
3. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
4. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
5. Kapalı otoparktan kata doğrudan asansör bağlantısı
6. Radye jeneral temel ve perde beton uygulaması
7. Engelsiz rampa girişi
8. 7/24 güvenlik kamera kayıt merkezi
9. Yangın algılama ve duman tahliye basınçlandırma santrali
10. Profesyonel site yönetimi ve peyzaj bakım ekibi",True,28500,12.7,7.86,Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı • Kapalı otoparkta elektrikli araç (EV) şarj ünitesi hazır • Ebeveyn banyosu ve bağımsız giyinme odası konforu • 7/24 güvenlikli ve zengin sosyal donatılı prestijli site yerleşimi,Kuzey cepheli odalarda kış aylarında ısınma maliyeti biraz daha yüksek olabilir • Merkezi caddeye yakınlığı nedeniyle yoğun saatlerde hafif trafik sesi alabilir,"Kısa ve uzun dönem kiralamaya uygun, yönetimi kolay, eşyalı 1+1 yatırım dairesi.","Tam eşyalı, metroya yakın ve yüksek kira talebi olan anahtar teslim rezidans.",https://example.com/ilan/PRT-002,assets/smart-studio-thumb.webp,active
PRT-003,Zekeriyaköy bölgesinde Satılık 3+1 Müstakil Ev - Özel Bahçeli,Satılık,İstanbul,Sarıyer,Zekeriyaköy,Konut,Müstakil Ev,3+1,6950000,Satış,190,155,7,2007-2018 Deprem Yönetmeliği,Müstakil,2,5,True,Isı Pompası (Düşük Tüketim),Doğu (Sabah Güneşi),True,180 m² Müstakil Bahçe + Veranda,False,False,False,False,2 Araçlık Kapalı + EV Şarj,False,7/24 Güvenlik & CCTV Kamera,Orman / Doğa Manzarası,Ada Tezgahlı Lüks Mutfak,Kat Mülkiyeti (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Kiracıya Uygun / Tahliye Edilecek,1350,Yarı Olimpik Havuz; SPA & Masaj Odası; Kapalı Spor Salonu; Kafe & Dinlenme Alanı; Açık Sinema Alanı,Metrobüs 350 m; Alışveriş Merkezi (AVM) 800 m; Üniversite Kampüsü 1.2 km; E-5 Bağlantısı 200 m,Güneş paneli elektrik üretimi; Merkezi yangın sprinkler sistemi; Duman dedektörü; Şifreli çelik kapı,"1. Plaka tanıma bariyeri
2. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
3. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
4. Radye jeneral temel ve perde beton uygulaması
5. 7/24 güvenlik kamera kayıt merkezi
6. Kapalı otoparktan kata doğrudan asansör bağlantısı
7. Yangın algılama ve duman tahliye basınçlandırma santrali
8. Ses ve titreşim yalıtımlı döşeme plakaları
9. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
10. Engelsiz rampa girişi",False,34000,17.0,5.87,"Ebeveyn banyosu ve bağımsız giyinme odası konforu • Kapalı otoparkta elektrikli araç (EV) şarj istasyonu altyapısı hazır • Salondan ve mutfaktan doğrudan çıkışlı 30 m² geniş cam balkon • Akıllı ev otomasyonu ile aydınlatma, panjur ve ısıtma cepten kontrol edilebilir",Metroya yürüme mesafesi uzaktır; şahsi araç veya servis/otobüs gerekmektedir • Açık balkon alanı bulunmamaktadır; iç mekan net alanı maksimize edilmiştir,"Doğayla iç içe, çocuklu aile ve evcil hayvan yaşamına uygun müstakil 3+1 ev.","Sessiz sokakta 180 m² bağımsız bahçe, veranda ve iki araçlık otopark.",https://example.com/ilan/PRT-003,assets/villa-garden-thumb.webp,active
PRT-004,Başakşehir bölgesinde Satılık 4+1 Daire - Geniş ve Yeni,Satılık,İstanbul,Başakşehir,Bahçeşehir 1. Kısım,Konut,Daire,4+1,11850000,Satış,220,188,2,2007 Öncesi Yapı,7,14,3,True,Yerden Isıtma,Güney (Tüm Gün Güneş),True,Fransız Balkon,True,True,False,True,2 Araçlık Kapalı Otopark + EV Şarj,False,Güvenlikli Site Girişi,Park & Yeşil Alan,Kapalı Lüks Ankastre Mutfak,Kat İrtifakı (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Kiracılı (Yüksek Getirili),1700,Çocuk Kulübü; Hobi ve Oyun Odası; Toplantı & Çalışma Salonu; Misafir Otoparkı; Barbekü Alanı,Marina ve Sahil Parkı 500 m; Gurme Restoranlar 250 m; Tenis Kulübü 700 m; Özel Hastane 1.5 km,Otomatik elektrikli panjur; Kilitli müstakil depo alanı; Merkezi uydu yayını; Görüntülü akıllı diafon,"1. 7/24 güvenlik kamera kayıt merkezi
2. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
3. Kapalı otoparktan kata doğrudan asansör bağlantısı
4. Engelsiz rampa girişi
5. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
6. Ses ve titreşim yalıtımlı döşeme plakaları
7. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
8. Plaka tanıma bariyeri
9. Radye jeneral temel ve perde beton uygulaması
10. Yangın algılama ve duman tahliye basınçlandırma santrali",True,59000,16.7,5.97,"Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı • Ebeveyn banyosu ve bağımsız giyinme odası konforu • Akıllı ev otomasyonu ile aydınlatma, iklimlendirme ve güvenlik uzaktan kontrol edilebilir • 7/24 güvenlikli ve zengin sosyal donatılı prestijli site yerleşimi",Bina yaşı 19 yıl; ortak alanlarda periyodik bakım veya yenileme gerekebilir • Açık balkon alanı bulunmamaktadır; iç mekan net alanı maksimize edilmiştir,"Yeni binada, çift cepheli, geniş salonlu ve güvenlikli site içinde 4+1 daire.","188 m² net kullanım, ebeveyn banyosu ve geniş aile yaşamına uygun plan.",https://example.com/ilan/PRT-004,assets/family-complex-thumb.webp,active
PRT-005,Etiler bölgesinde Satılık 2+1 Rezidans - Prestijli Sitede Aileye Uygun,Satılık,İstanbul,Beşiktaş,Etiler,Konut,Rezidans,2+1,6200000,Satış,173,148,5,2018 Sonrası Deprem Yönetmeliği,5,7,2,True,Merkezi Pay Ölçer,Doğu (Sabah Güneşi),False,Balkonsuz (Geniş İç Mekan),True,True,False,True,Açık Tahsisli Otopark,False,7/24 Güvenlik & CCTV Kamera,Orman & Doğa,Amerikan Açık Mutfak,Kat Mülkiyeti (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Boş (Hemen Taşınmaya Hazır),2050,Geniş Yeşil Alan; Yürüyüş Yolu; Evcil Hayvan Parkı; 7/24 Güvenlik; Kapalı Otopark,TEM Otoyol Çıkışı 1.2 km; Uluslararası Okul 900 m; Organik Pazar 300 m; Doğa Parkı 600 m,Deprem sensörlü gaz kesme sistemi; Çift asansör; Acil kaçış merdiveni; Kesintisiz UPS güç hattı,"1. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
2. Kapalı otoparktan kata doğrudan asansör bağlantısı
3. 7/24 güvenlik kamera kayıt merkezi
4. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
5. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
6. Yangın algılama ve duman tahliye basınçlandırma santrali
7. Profesyonel site yönetimi ve peyzaj bakım ekibi
8. Plaka tanıma bariyeri
9. Engelsiz rampa girişi
10. Radye jeneral temel ve perde beton uygulaması",True,26609,19.4,5.15,"2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı • Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı • Ebeveyn banyosu ve bağımsız giyinme odası konforu • Akıllı ev otomasyonu ile aydınlatma, iklimlendirme ve güvenlik uzaktan kontrol edilebilir",Açık balkon alanı bulunmamaktadır; iç mekan net alanı maksimize edilmiştir • Site sosyal tesisleri sebebiyle aylık aidat bedeli bölge ortalamasının üzerinde,"İstanbul Beşiktaş, Etiler mevkiinde yer alan satılık Rezidans. 2+1 planında, 173 m² brüt alana sahip. 2018 Sonrası Deprem Yönetmeliği standartlarında inşa edilmiş, Doğu (Sabah Güneşi) cepheli ve Merkezi Pay Ölçer sistemlidir. Seçkin restoranlar ve lüks konut dokusu. 2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı. 173 m² brüt / 148 m² net kullanım alanı sunmaktadır.",Seçkin restoranlar ve lüks konut dokusu. 2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı. 173 m² brüt / 148 m² net kullanım alanı sunmaktadır.,https://example.com/ilan/PRT-005,assets/smart-studio-thumb.webp,active
PRT-006,Zekeriyaköy bölgesinde Kiralık 4+1 Müstakil Ev - Yatırıma Uygun Yüksek Kira Getirili,Kiralık,İstanbul,Sarıyer,Zekeriyaköy,Konut,Müstakil Ev,4+1,123000,Aylık,380,304,9,2007-2018 Deprem Yönetmeliği,Müstakil,3,5,True,Merkezi Pay Ölçer,Doğu (Sabah Güneşi),True,120 m² Müstakil Çim Bahçe,False,False,True,False,Açık Tahsisli Otopark,False,Lobi / Resepsiyon & Kartlı Geçiş,Boğaz & Deniz,Yarı Açık Mutfak,Kat Mülkiyeti (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Kiracıya Uygun / Tahliye Edilecek,2400,Modern Lobi; Resepsiyon Hizmeti; Ortak Toplantı Odaları; Dinlenme Terası; Jeneratör,Havalimanı Bağlantı Yolu 4 km; Organize Sanayi / İş Merkezi 1.5 km; Toplu Taşıma Durağı 80 m,Akıllı ev otomasyon sistemi; Çift camlı Schüco alüminyum doğrama; Fiber optik internet; Tam güç jeneratör,"1. Yangın algılama ve duman tahliye basınçlandırma santrali
2. Kapalı otoparktan kata doğrudan asansör bağlantısı
3. Plaka tanıma bariyeri
4. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
5. Profesyonel site yönetimi ve peyzaj bakım ekibi
6. Ses ve titreşim yalıtımlı döşeme plakaları
7. Engelsiz rampa girişi
8. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
9. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
10. Radye jeneral temel ve perde beton uygulaması",False,123000,15.8,6.35,Kapanmaz ferah Boğaz & Deniz manzarası • Ebeveyn banyosu ve bağımsız giyinme odası konforu • Yıllık %6.35 brüt getiri ve 15.8 yıl hızlı amortisman potansiyeli • Metro / Marmaray istasyonuna sadece 3-5 dakika yürüme mesafesinde,Metroya yürüme mesafesi uzaktır; şahsi araç veya servis/otobüs gerekmektedir • Binada asansör bulunmamaktadır; merdiven kullanımı gerektirir,"İstanbul Sarıyer, Zekeriyaköy mevkiinde yer alan kiralık Müstakil Ev. 4+1 planında, 380 m² brüt alana sahip. 2007-2018 Deprem Yönetmeliği standartlarında inşa edilmiş, Doğu (Sabah Güneşi) cepheli ve Merkezi Pay Ölçer sistemlidir. Ormanla iç içe müstakil villa ve doğa yaşamı. Kapanmaz ferah Boğaz & Deniz manzarası. 380 m² brüt / 304 m² net kullanım alanı sunmaktadır.",Ormanla iç içe müstakil villa ve doğa yaşamı. Kapanmaz ferah Boğaz & Deniz manzarası. 380 m² brüt / 304 m² net kullanım alanı sunmaktadır.,https://example.com/ilan/PRT-006,assets/villa-garden-thumb.webp,active
PRT-007,Maslak bölgesinde Satılık 3+1 Çatı Katı - Geniş Salonlu ve Ada Mutfaklı,Satılık,İstanbul,Sarıyer,Maslak,Konut,Çatı Katı,3+1,16850000,Satış,223,181,2,2018 Sonrası Deprem Yönetmeliği,9. Kat (Çatı),9,3,True,Merkezi Pay Ölçer,Batı (Gün Batımı Manzaralı),False,120 m² Müstakil Çim Bahçe,True,True,False,True,Açık Tahsisli Otopark,False,Güvenlikli Site Girişi,Orman & Doğa,Amerikan Açık Mutfak,Kat Mülkiyeti (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Boş (Hemen Taşınmaya Hazır),2750,Açık/Kapalı Yüzme Havuzu; Fitness & Pilates Salonu; Sauna & Buhar Odası; Çocuk Parkı; Yürüyüş Parkuru; Tenis Kortu,Metro İstasyonu 300 m; Prestijli Kolej 450 m; Süpermarket 100 m; Tam Donanımlı Hastane 1.8 km,Isı ve ses yalıtımlı taş yünü mantolama; Yerden ısıtma; VRF klima altyapısı; Merkezi su arıtma ve hidrofor,"1. Plaka tanıma bariyeri
2. Katta çift sedye asansörü
3. Engelsiz rampa girişi
4. Kapalı otoparktan kata doğrudan asansör bağlantısı
5. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
6. Radye jeneral temel ve perde beton uygulaması
7. Yangın algılama ve duman tahliye basınçlandırma santrali
8. Profesyonel site yönetimi ve peyzaj bakım ekibi
9. 7/24 güvenlik kamera kayıt merkezi
10. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem",True,77293,18.2,5.5,"2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı • Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı • Ebeveyn banyosu ve bağımsız giyinme odası konforu • Akıllı ev otomasyonu ile aydınlatma, iklimlendirme ve güvenlik uzaktan kontrol edilebilir","Açık balkon alanı bulunmamaktadır; iç mekan net alanı maksimize edilmiştir • Otopark açık alandadır, her daireye 1 adet tahsisli numara bulunmaktadır","İstanbul Sarıyer, Maslak mevkiinde yer alan satılık Çatı Katı. 3+1 planında, 223 m² brüt alana sahip. 2018 Sonrası Deprem Yönetmeliği standartlarında inşa edilmiş, Batı (Gün Batımı Manzaralı) cepheli ve Merkezi Pay Ölçer sistemlidir. İş ve finans dünyasının kalbi, yüksek kira getirisi. 2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı. 223 m² brüt / 181 m² net kullanım alanı sunmaktadır.","İş ve finans dünyasının kalbi, yüksek kira getirisi. 2018 sonrası güncel deprem yönetmeliğine tam uygun radye temel ve C35 betonarme yapı. 223 m² brüt / 181 m² net kullanım alanı sunmaktadır.",https://example.com/ilan/PRT-007,assets/penthouse-terrace-thumb.webp,active
PRT-008,"Tarabya bölgesinde Kiralık Açık Alan / 4 Bölüm Dükkan / Mağaza - Klinik, Kafe veya Banka Şubesine Uygun Köşe",Kiralık,İstanbul,Sarıyer,Tarabya,Ticari,Dükkan / Mağaza,Açık Alan / 4 Bölüm,136000,Aylık,323,284,11,2007-2018 Deprem Yönetmeliği,Düz Giriş,10,4,False,Doğalgaz Kombi,Güney (Tüm Gün Güneş),False,Kış Bahçesi,True,False,True,True,Cadde Üstü Park İmkanı,False,Güvenlikli Site Girişi,Kısmi Deniz Manzaralı,Amerikan Açık Mutfak,Kat Mülkiyeti (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Kiracıya Uygun / Tahliye Edilecek,3100,Peyzajlı Bahçe; Sosyal Tesis; Basketbol Sahası; Bisiklet Parkı; Çocuk Oyun Alanı; Kamelya & Dinlenme Alanı,Marmaray 600 m; Sahil Kordonu 400 m; Butik Kafeler 150 m; Eczane ve Sağlık Ocağı 200 m,Güneş paneli elektrik üretimi; Merkezi yangın sprinkler sistemi; Duman dedektörü; Şifreli çelik kapı,"1. Engelsiz rampa girişi
2. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
3. Yangın algılama ve duman tahliye basınçlandırma santrali
4. Ses ve titreşim yalıtımlı döşeme plakaları
5. Profesyonel site yönetimi ve peyzaj bakım ekibi
6. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
7. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
8. Katta çift sedye asansörü
9. 7/24 güvenlik kamera kayıt merkezi
10. Radye jeneral temel ve perde beton uygulaması",False,136000,16.6,6.03,Kapanmaz ferah Kısmi Deniz Manzaralı manzarası • 7/24 güvenlikli ve zengin sosyal donatılı prestijli site yerleşimi • Yıllık %6.03 brüt getiri ve 16.6 yıl hızlı amortisman potansiyeli • Kurumsal kiracıya hemen verilebilir veya yüksek ciro potansiyeli,Metroya yürüme mesafesi uzaktır; şahsi araç veya servis/otobüs gerekmektedir • Açık balkon alanı bulunmamaktadır; iç mekan net alanı maksimize edilmiştir,"İstanbul Sarıyer, Tarabya mevkiinde yer alan kiralık Dükkan / Mağaza. Açık Alan / 4 Bölüm planında, 323 m² brüt alana sahip. 2007-2018 Deprem Yönetmeliği standartlarında inşa edilmiş, Güney (Tüm Gün Güneş) cepheli ve Doğalgaz Kombi sistemlidir. Sahil hattı, marina ve sakin koy manzarası. Kapanmaz ferah Kısmi Deniz Manzaralı manzarası. 323 m² brüt / 284 m² net kullanım alanı sunmaktadır.","Sahil hattı, marina ve sakin koy manzarası. Kapanmaz ferah Kısmi Deniz Manzaralı manzarası. 323 m² brüt / 284 m² net kullanım alanı sunmaktadır.",https://example.com/ilan/PRT-008,assets/commercial-shop-thumb.webp,active
PRT-009,Bomonti bölgesinde Kiralık Açık Alan / 8 Bölüm Ofis / Büro - Ana Cadde Üstü Yüksek Cirolu ve Prestijli,Kiralık,İstanbul,Şişli,Bomonti,Ticari,Ofis / Büro,Açık Alan / 8 Bölüm,70000,Aylık,352,309,20,2007 Öncesi Yapı,9,11,5,True,Isı Pompası (Düşük Tüketim),Güney-Doğu (Sabah ve Öğle Güneşi),True,120 m² Müstakil Çim Bahçe,True,True,True,True,2 Araçlık Kapalı + EV Şarj,True,Lobi / Resepsiyon & Kartlı Geçiş,Park & Yeşil Alan,Yarı Açık Mutfak,Kat İrtifakı (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Kiracıya Uygun / Tahliye Edilecek,3450,Yarı Olimpik Havuz; SPA & Masaj Odası; Kapalı Spor Salonu; Kafe & Dinlenme Alanı; Açık Sinema Alanı,Metrobüs 350 m; Alışveriş Merkezi (AVM) 800 m; Üniversite Kampüsü 1.2 km; E-5 Bağlantısı 200 m,Otomatik elektrikli panjur; Kilitli müstakil depo alanı; Merkezi uydu yayını; Görüntülü akıllı diafon,"1. Kapalı otoparktan kata doğrudan asansör bağlantısı
2. Engelsiz rampa girişi
3. 7/24 güvenlik kamera kayıt merkezi
4. Zemin etüdü ve sismik testleri yapılmış güvenli yapı
5. Katta çift sedye asansörü
6. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
7. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
8. Plaka tanıma bariyeri
9. Ses ve titreşim yalıtımlı döşeme plakaları
10. Yangın algılama ve duman tahliye basınçlandırma santrali",False,70000,15.7,6.38,Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı • Kapalı otoparkta elektrikli araç (EV) şarj ünitesi hazır • Ebeveyn banyosu ve bağımsız giyinme odası konforu • 7/24 güvenlikli ve zengin sosyal donatılı prestijli site yerleşimi,Bina yaşı 20 yıl; ortak alanlarda periyodik bakım veya yenileme gerekebilir • Ticari aidat ve tabela vergisi giderleri göz önünde bulundurulmalıdır,"İstanbul Şişli, Bomonti mevkiinde yer alan kiralık Ofis / Büro. Açık Alan / 8 Bölüm planında, 352 m² brüt alana sahip. 2007 Öncesi Yapı standartlarında inşa edilmiş, Güney-Doğu (Sabah ve Öğle Güneşi) cepheli ve Isı Pompası (Düşük Tüketim) sistemlidir. Kültür, sanat ve dinamik şehir rezidansları. Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı. 352 m² brüt / 309 m² net kullanım alanı sunmaktadır.","Kültür, sanat ve dinamik şehir rezidansları. Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı. 352 m² brüt / 309 m² net kullanım alanı sunmaktadır.",https://example.com/ilan/PRT-009,assets/office-plaza-thumb.webp,active
PRT-010,Nişantaşı bölgesinde Satılık Panoramik Executive Kat Plaza Katı - Tabela Değeri Yüksek Kurumsal Kiracılı,Satılık,İstanbul,Şişli,Nişantaşı,Ticari,Plaza Katı,Panoramik Executive Kat,17000000,Satış,381,335,21,2007 Öncesi Yapı,10,12,5,True,Merkezi Pay Ölçer,Güney-Batı (Akşam Güneşi & Aydınlık),False,Vitrin Önü Teras Alanı,True,True,False,True,Açık Tahsisli Otopark,False,Güvenlikli Site Girişi,Orman & Doğa,Ada Tezgahlı Lüks Mutfak,Kat İrtifakı (İskanlı),True,İskanlı / Yapı Kullanım İzinli,Kiracılı (Yüksek Getirili),3800,Çocuk Kulübü; Hobi ve Oyun Odası; Toplantı & Çalışma Salonu; Misafir Otoparkı; Barbekü Alanı,Marina ve Sahil Parkı 500 m; Gurme Restoranlar 250 m; Tenis Kulübü 700 m; Özel Hastane 1.5 km,Deprem sensörlü gaz kesme sistemi; Çift asansör; Acil kaçış merdiveni; Kesintisiz UPS güç hattı,"1. Radye jeneral temel ve perde beton uygulaması
2. 2018 Deprem Yönetmeliğine uygun C35 hazır betonarme karkas sistem
3. Plaka tanıma bariyeri
4. Dış cephede A1 sınıfı yanmaz taş yünü ısı yalıtımı
5. Engelsiz rampa girişi
6. 7/24 güvenlik kamera kayıt merkezi
7. Kapalı otoparktan kata doğrudan asansör bağlantısı
8. Katta çift sedye asansörü
9. Profesyonel site yönetimi ve peyzaj bakım ekibi
10. Ses ve titreşim yalıtımlı döşeme plakaları",True,75221,18.8,5.31,"Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı • Ebeveyn banyosu ve bağımsız giyinme odası konforu • Akıllı ev otomasyonu ile aydınlatma, iklimlendirme ve güvenlik uzaktan kontrol edilebilir • 7/24 güvenlikli ve zengin sosyal donatılı prestijli site yerleşimi","Aylık 3,800 TL site aidat bedeli bütçe planlamasında dikkate alınmalıdır • Bina yaşı 21 yıl; ortak alanlarda periyodik bakım veya yenileme gerekebilir • Açık balkon alanı bulunmamaktadır; iç mekan net alanı maksimize edilmiştir","İstanbul Şişli, Nişantaşı mevkiinde yer alan satılık Plaza Katı. Panoramik Executive Kat planında, 381 m² brüt alana sahip. 2007 Öncesi Yapı standartlarında inşa edilmiş, Güney-Batı (Akşam Güneşi & Aydınlık) cepheli ve Merkezi Pay Ölçer sistemlidir. Moda, lüks butikler ve tarihi apartman dokusu. Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı. 381 m² brüt / 335 m² net kullanım alanı sunmaktadır.","Moda, lüks butikler ve tarihi apartman dokusu. Metro / toplu taşıma istasyonuna 3-5 dakika yürüme mesafesinde üstün ulaşım avantajı. 381 m² brüt / 335 m² net kullanım alanı sunmaktadır.",https://example.com/ilan/PRT-010,assets/office-plaza-thumb.webp,active
